"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.12.24 4:00 AM GMT","Lime Rock Park - Grand Prix","Global Mazda MX-5 Cup","2020","1","A","3","2887",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","258491","258491","DJ Alessandrini","1","1","0","Running","-00.000","20","","1:02.428","1:01.618","6","20","1","164","0","0","20","Ohio","5964","5996","19","303","19","313","Global Mazda MX-5 Cup","100","0","164"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","357946","357946","Tom O'Gorman","2","7","0","Running","-08.662","0","","1:02.861","1:01.806","5","20","11","149","0","0","20","Ohio","2853","2932","14","222","14","205","Global Mazda MX-5 Cup","100","0","149"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","160953","160953","Jobe Stewart","3","4","0","Running","-08.850","0","","1:02.870","1:01.603","9","20","12","134","0","0","34","Australia/NZ","3561","3605","19","359","19","320","Global Mazda MX-5 Cup","100","0","134"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","264977","264977","Jeff Lovell","4","2","0","Running","-09.541","0","","1:02.905","1:01.708","8","20","6","119","0","0","23","Mid-South","4332","4342","16","447","16","435","Global Mazda MX-5 Cup","100","0","119"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","71789","71789","Ethan Dean","6","8","0","Running","-13.767","0","","1:03.116","1:02.200","7","20","0","104","0","0","36","UK and I","2525","2563","19","371","19","385","Global Mazda MX-5 Cup","100","0","104"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","103247","103247","Connor Tebbe","11","6","0","Running","-24.360","0","","1:03.645","1:02.253","5","20","1","89","0","0","21","Georgia","3133","3138","11","365","11","372","Global Mazda MX-5 Cup","100","0","89"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","171174","171174","Alex Halinar","9","10","0","Running","-27.652","0","","1:03.810","1:02.165","8","20","11","74","0","0","14","New York","1963","1985","14","211","14","201","Global Mazda MX-5 Cup","100","0","74"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","283662","283662","Chrystian Nascimento","12","9","0","Running","-28.233","0","","1:03.839","1:02.234","11","20","1","59","0","0","45","Brazil","2325","2320","15","344","15","354","Global Mazda MX-5 Cup","100","0","59"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","373158","373158","Ludwin Loyarino","10","5","0","Running","-28.426","0","","1:03.849","1:01.545","4","20","9","44","0","0","1","International Club","3207","3161","11","311","11","309","Global Mazda MX-5 Cup","100","0","44"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","408118","408118","Alejandro Medina","8","12","0","Running","-32.184","0","","1:04.037","1:02.604","7","20","10","29","0","0","49","Mexico","1777","1756","7","302","7","305","Global Mazda MX-5 Cup","100","0","29"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","367454","367454","Christopher Taylor10","5","3","0","Running","-1 L","0","","1:05.777","1:02.302","5","19","16","14","0","0","12","New England","4126","4024","19","380","19","318","Global Mazda MX-5 Cup","100","0","14"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","338330","338330","Emerson Harvey","7","11","29","Disqualified","-8 L","0","","1:04.001","1:02.311","4","12","18","7","0","0","34","Australia/NZ","1837","1781","10","234","10","211","Global Mazda MX-5 Cup","100","0","7"
