"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Graham A. Bowlin","180","0","Texas","US","7379","7","2","5","76","2","21","0","5","745","0","25","222922"
"2","John Gorlinsky","171","0","Carolina","US","6423","9","2","5","84","2","21","0","5","745","0","12","15564"
"3","Nathan Lyon","168","0","Great Plains","US","6777","8","3","5","116","0","10","0","5","745","0","6","43417"
"4","Bob Bryant","164","0","Mid-South","US","5995","9","2","5","19","0","37","0","5","745","1","19","15877"
"5","Ray Alfalla","155","0","Florida","US","7626","11","2","5","82","1","27","0","5","738","0","12","15687"
"6","Alex McCollum3","143","0","New Jersey","US","7685","12","2","5","0","0","30","0","5","745","0","12","251202"
"7","Steve Sheehan","140","0","Carolina","US","6540","13","2","5","0","0","28","0","5","745","0","19","15903"
"8","Brandon Hayse Kettelle","140","0","Florida","US","5153","13","2","5","4","0","41","0","5","735","0","21","58691"
"9","Kollin Keister","135","0","Atlantic","US","8158","14","1","5","0","0","24","0","5","744","0","20","88718"
"10","Eric J. Smith","132","0","Carolina","US","5932","15","1","5","0","0","41","0","5","744","0","22","160763"
"11","Ashton Crowder","129","0","Carolina","US","6718","15","0","5","0","0","44","0","5","745","0","18","90451"
"12","Chris Shearburn","125","0","Illinois","US","7029","17","1","5","23","0","21","0","5","734","1","11","15852"
"13","Michael Guest","122","0","Indiana","US","6568","17","2","5","1","0","30","0","5","720","0","20","34809"
"14","Santiago Tirres","116","0","Carolina","US","6370","18","1","5","35","0","28","0","5","734","1","15","179758"
"15","Chris Overland","114","0","Texas","US","5858","18","0","5","2","0","31","0","5","712","0","12","43733"
"16","Justin Bolton","112","0","Carolina","US","7600","19","0","5","4","0","43","0","5","745","0","11","52025"
"17","Jeremy R Allen","111","0","Indiana","US","6972","19","0","5","30","0","25","0","5","739","0","12","29895"
"18","Brian Schoenburg","108","0","California Club","US","6987","20","0","5","20","0","50","0","5","745","0","23","15780"
"19","Nickolas Shelton","107","0","Mid-South","US","6196","20","0","5","0","0","43","0","5","745","0","19","104680"
"20","Michael Guariglia","106","0","Carolina","US","6309","20","0","5","0","0","39","0","5","744","0","23","143851"
"21","Bryan Blackford","104","0","Florida","US","6798","20","0","5","0","0","44","0","5","739","0","15","16904"
"22","Caine Cook","103","0","Great Plains","US","6702","15","1","4","0","0","36","0","4","644","0","34","161571"
"23","Adam Gilliland","100","0","Texas","US","6300","21","1","5","2","0","40","0","5","735","0","29","32765"
"24","Casey Tucker","98","0","Georgia","US","6258","21","0","5","0","0","33","0","5","745","0","26","80543"
"25","Cody Byus","96","0","Pennsylvania","US","6984","22","0","5","208","0","27","0","5","739","1","6","58919"
"26","Brad Mahar","94","0","New England","US","7433","22","0","5","0","0","37","0","5","706","0","14","41075"
"27","Corey A Carpenter","92","0","Carolina","US","6002","23","0","5","0","0","35","0","5","744","0","28","97082"
"28","Logan Kress","87","0","New England","US","6050","24","0","5","4","0","62","0","5","667","0","25","97243"
"29","Liam Brotherton","83","0","Mid-South","US","6345","25","0","5","2","0","54","0","5","744","1","19","167354"
"30","Braden Boulos","81","0","Indiana","US","7090","25","0","5","7","0","55","0","5","745","0","18","126971"
"31","Will Cooley","78","0","Carolina","US","6691","25","0","5","0","0","47","0","5","724","0","24","191057"
"32","Benjamin W. Nelson","76","0","Carolina","US","6173","26","0","5","1","0","43","0","5","711","0","17","151476"
"33","Timmy Hill","68","0","Atlantic","US","5664","28","0","5","8","0","52","0","5","713","0","29","51575"
"34","David Shutt","66","0","Illinois","US","4924","28","0","5","8","0","44","0","5","693","0","30","92727"
"35","Jeremy B Davis","65","0","California Club","US","5043","28","0","5","0","0","43","0","5","684","0","23","31096"
"36","Ethan Lane","53","0","Carolina","US","5422","31","0","5","6","0","51","0","5","653","0","21","87660"
"37","Jesse Schwarz","43","0","Atlantic","US","5676","31","0","4","3","0","45","0","4","479","0","34","130173"
"38","Matthew Wright2","43","0","New York","US","4353","32","0","5","0","0","18","0","5","680","0","28","46206"
"39","Adam Benefiel","38","0","Mid-South","US","3935","33","0","5","0","0","45","0","5","603","0","28","132004"
"40","Ryan Lowe","9","0","Virginias","US","5692","38","0","3","0","0","30","0","3","247","0","34","68739"
